t2,y2,t2,y2;
215267.8089999999,-16.078125,215387.78599999996,-7.13355928445003;
215267.8714999999,-4.078125,215387.84849999996,-14.13355928445003;
215267.9339999999,-27.078125,215387.91099999996,-4.13355928445003;
215267.9964999999,1.921875,215387.97349999996,3.8664407155499703;
215268.0589999999,0.921875,215388.03599999996,-19.13355928445003;
215268.1214999999,-3.078125,215388.09849999996,22.86644071554997;
215268.1839999999,4.921875,215388.16099999996,6.86644071554997;
215268.2464999999,12.921875,215388.22349999996,15.86644071554997;
215268.3089999999,4.921875,215388.28599999996,24.86644071554997;
215268.3714999999,-7.078125,215388.34849999996,5.86644071554997;
215268.4339999999,22.921875,215388.41099999996,1.8664407155499703;
215268.4964999999,-24.078125,215388.47349999996,19.86644071554997;
215268.5589999999,-25.078125,215388.53599999996,15.86644071554997;
215268.6214999999,35.921875,215388.59849999996,6.86644071554997;
215268.6839999999,1.921875,215388.66099999996,32.86644071554997;
215268.7464999999,-26.078125,215388.72349999996,-4.13355928445003;
215268.8089999999,11.921875,215388.78599999996,-7.13355928445003;
215268.8714999999,27.921875,215388.84849999996,0.8664407155499703;
215268.9339999999,2.921875,215388.91099999996,11.86644071554997;
215268.9964999999,-8.078125,215388.97349999996,2.8664407155499703;
215269.0589999999,-1.078125,215389.03599999996,15.86644071554997;
215269.1214999999,15.921875,215389.09849999996,12.86644071554997;
215269.1839999999,8.921875,215389.16099999996,3.8664407155499703;
215269.2464999999,-41.078125,215389.22349999996,-12.13355928445003;
215269.3089999999,-25.078125,215389.28599999996,-16.13355928445003;
215269.3714999999,18.921875,215389.34849999996,27.86644071554997;
215269.4339999999,-3.078125,215389.41099999996,-10.13355928445003;
215269.4964999999,12.921875,215389.47349999996,2.8664407155499703;
215269.5589999999,14.921875,215389.53599999996,13.86644071554997;
215269.6214999999,-8.078125,215389.59849999996,-8.13355928445003;
215269.6839999999,-7.078125,215389.66099999996,-21.13355928445003;
215269.7464999999,16.921875,215389.72349999996,5.86644071554997;
215269.8089999999,17.921875,215389.78599999996,-0.13355928445002974;
215269.8714999999,7.921875,215389.84849999996,3.8664407155499703;
215269.9339999999,15.921875,215389.91099999996,3.8664407155499703;
215269.9964999999,-13.078125,215389.97349999996,0.8664407155499703;
215270.0589999999,-13.078125,215390.03599999996,13.86644071554997;
215270.1214999999,-11.078125,215390.09849999996,14.86644071554997;
215270.1839999999,9.921875,215390.16099999996,15.86644071554997;
215270.2464999999,12.921875,215390.22349999996,12.86644071554997;
215270.3089999999,-19.078125,215390.28599999996,26.86644071554997;
215270.3714999999,-19.078125,215390.34849999996,-10.13355928445003;
215270.4339999999,-4.078125,215390.41099999996,2.8664407155499703;
215270.4964999999,-24.078125,215390.47349999996,-1.1335592844500297;
215270.5589999999,-13.078125,215390.53599999996,-0.13355928445002974;
215270.6214999999,-23.078125,215390.59849999996,7.86644071554997;
215270.6839999999,-48.078125,215390.66099999996,-9.13355928445003;
215270.7464999999,5.921875,215390.72349999996,8.86644071554997;
215270.8089999999,6.921875,215390.78599999996,4.86644071554997;
215270.8714999999,-8.078125,215390.84849999996,9.86644071554997;
215270.9339999999,6.921875,215390.91099999996,6.86644071554997;
215270.9964999999,11.921875,215390.97349999996,0.8664407155499703;
215271.0589999999,-16.078125,215391.03599999996,1.8664407155499703;
215271.1214999999,-5.078125,215391.09849999996,6.86644071554997;
215271.1839999999,20.921875,215391.16099999996,-14.13355928445003;
215271.2464999999,-8.078125,215391.22349999996,-3.1335592844500297;
215271.3089999999,-15.078125,215391.28599999996,12.86644071554997;
215271.3714999999,-13.078125,215391.34849999996,-17.13355928445003;
215271.4339999999,2.921875,215391.41099999996,4.86644071554997;
215271.4964999999,3.921875,215391.47349999996,10.86644071554997;
215271.5589999999,-6.078125,215391.53599999996,1.8664407155499703;
215271.6214999999,9.921875,215391.59849999996,-15.13355928445003;
215271.6839999999,3.921875,215391.66099999996,0.8664407155499703;
215271.7464999999,-2.078125,215391.72349999996,16.86644071554997;
215271.8089999999,6.921875,215391.78599999996,13.86644071554997;
215271.8714999999,4.921875,215391.84849999996,1.8664407155499703;
215271.9339999999,-0.078125,215391.91099999996,4.86644071554997;
215271.9964999999,-13.078125,215391.97349999996,28.86644071554997;
215272.0589999999,-30.078125,215392.03599999996,3.8664407155499703;
215272.1214999999,-0.078125,215392.09849999996,4.86644071554997;
215272.1839999999,19.921875,215392.16099999996,13.86644071554997;
215272.2464999999,-14.078125,215392.22349999996,-1.1335592844500297;
215272.3089999999,-19.078125,215392.28599999996,-9.13355928445003;
215272.3714999999,-13.078125,215392.34849999996,11.86644071554997;
215272.4339999999,-15.078125,215392.41099999996,-0.13355928445002974;
215272.4964999999,-15.078125,215392.47349999996,15.86644071554997;
215272.5589999999,12.921875,215392.53599999996,0.8664407155499703;
215272.6214999999,42.921875,215392.59849999996,0.8664407155499703;
215272.6839999999,-9.078125,215392.66099999996,14.86644071554997;
215272.7464999999,-0.078125,215392.72349999996,15.86644071554997;
215272.8089999999,25.921875,215392.78599999996,6.86644071554997;
215272.8714999999,-2.078125,215392.84849999996,12.86644071554997;
215272.9339999999,-11.078125,215392.91099999996,27.86644071554997;
215272.9964999999,-1.078125,215392.97349999996,3.8664407155499703;
215273.0589999999,17.921875,215393.03599999996,7.86644071554997;
215273.1214999999,-12.078125,215393.09849999996,-1.1335592844500297;
215273.1839999999,-25.078125,215393.16099999996,9.86644071554997;
215273.2464999999,-25.078125,215393.22349999996,30.86644071554997;
215273.3089999999,-7.078125,215393.28599999996,17.86644071554997;
215273.3714999999,4.921875,215393.34849999996,22.86644071554997;
215273.4339999999,1.921875,215393.41099999996,17.86644071554997;
215273.4964999999,-24.078125,215393.47349999996,16.86644071554997;
215273.5589999999,0.921875,215393.53599999996,9.86644071554997;
215273.6214999999,-30.078125,215393.59849999996,-5.13355928445003;
215273.6839999999,-32.078125,215393.66099999996,-5.13355928445003;
215273.7464999999,-0.078125,215393.72349999996,10.86644071554997;
215273.8089999999,-12.078125,215393.78599999996,-10.13355928445003;
215273.8714999999,-32.078125,215393.84849999996,-9.13355928445003;
215273.9339999999,-39.078125,215393.91099999996,1.8664407155499703;
215273.9964999999,-16.078125,215393.97349999996,2.8664407155499703;
215274.0589999999,-22.078125,215394.03599999996,-4.13355928445003;
215274.1214999999,27.921875,215394.09849999996,1.8664407155499703;
215274.1839999999,10.921875,215394.16099999996,-0.13355928445002974;
215274.2464999999,-0.078125,215394.22349999996,-18.13355928445003;
215274.3089999999,18.921875,215394.28599999996,-1.1335592844500297;
215274.3714999999,-33.078125,215394.34849999996,-4.13355928445003;
215274.4339999999,-33.078125,215394.41099999996,9.86644071554997;
215274.4964999999,34.921875,215394.47349999996,6.86644071554997;
215274.5589999999,19.921875,215394.53599999996,2.8664407155499703;
215274.6214999999,-12.078125,215394.59849999996,1.8664407155499703;
215274.6839999999,1.921875,215394.66099999996,-6.13355928445003;
215274.7464999999,-4.078125,215394.72349999996,6.86644071554997;
215274.8089999999,-12.078125,215394.78599999996,14.86644071554997;
215274.8714999999,-30.078125,215394.84849999996,16.86644071554997;
